user_id,listening_date,avg_valence,total_duration_ms,emotional_intensity,track_count,total_duration_minutes,mood_trend,is_low_valence_day,low_mood_streak,mood_status,recommendation_stage
user_001,2026-04-24,0.443,1122026,10.61577545,6,18.7,0.0,False,0,Normal,neutral
user_001,2026-04-25,0.602,1750294,11.5099029,12,29.17,0.159,False,0,Normal,light positive
user_001,2026-04-26,0.53,1114660,7.70745335,7,18.58,-0.072,False,0,Normal,light positive
user_001,2026-04-27,0.17,1441081,20.11399825,10,24.02,-0.36,True,1,Normal,reflective
user_001,2026-04-28,0.209,1568343,20.532284399999998,11,26.14,0.039,True,2,Normal,reflective
user_001,2026-04-29,0.182,2109555,28.999012983333333,13,35.16,-0.027,True,3,Prolonged Low Mood,reflective
user_001,2026-04-30,0.479,1306358,11.400577766666666,11,21.77,0.297,False,0,Normal,neutral
user_001,2026-05-01,0.681,1164703,6.403983483333333,9,19.41,0.202,False,0,Normal,light positive
user_001,2026-05-02,0.499,1475106,12.25996795,12,24.59,-0.182,False,0,Normal,neutral
user_001,2026-05-03,0.377,1331920,13.760619983333333,9,22.2,-0.122,True,1,Normal,neutral
user_002,2026-04-24,0.33,1024837,11.498725833333335,7,17.08,0.0,True,1,Normal,neutral
user_002,2026-04-25,0.356,1324557,14.643657233333332,11,22.08,0.026,True,2,Normal,neutral
user_002,2026-04-26,0.485,2143771,18.102666916666667,13,35.73,0.129,False,0,Normal,neutral
user_002,2026-04-27,0.578,1333176,9.354462366666667,10,22.22,0.093,False,0,Normal,light positive
user_002,2026-04-28,0.364,1681430,17.9903044,11,28.02,-0.214,True,1,Normal,neutral
user_002,2026-04-29,0.431,1478983,14.76045255,10,24.65,0.067,False,0,Normal,neutral
user_002,2026-04-30,0.514,1096999,9.050092866666667,7,18.28,0.083,False,0,Normal,light positive
user_002,2026-05-01,0.425,1032536,9.381187583333332,9,17.21,-0.089,False,0,Normal,neutral
user_002,2026-05-02,0.378,1261991,12.3984603,9,21.03,-0.047,True,1,Normal,neutral
user_002,2026-05-03,0.448,1280040,12.940638666666667,8,21.33,0.07,False,0,Normal,neutral
user_003,2026-04-24,0.629,752824,4.608483416666666,6,12.55,0.0,False,0,Normal,light positive
user_003,2026-04-25,0.509,1402447,11.396646683333334,10,23.37,-0.12,False,0,Normal,light positive
user_003,2026-04-26,0.558,1079753,8.0147709,7,18.0,0.049,False,0,Normal,light positive
user_003,2026-04-27,0.42,1068831,10.443926616666666,8,17.81,-0.138,False,0,Normal,neutral
user_003,2026-04-28,0.659,1053313,6.6708664666666655,7,17.56,0.239,False,0,Normal,light positive
user_003,2026-04-29,0.535,1492794,11.259292633333333,13,24.88,-0.124,False,0,Normal,light positive
user_003,2026-04-30,0.486,1881902,16.80712445,13,31.37,-0.049,False,0,Normal,neutral
user_003,2026-05-01,0.418,1077147,8.979587933333333,8,17.95,-0.068,False,0,Normal,neutral
user_003,2026-05-02,0.552,2085845,14.890189516666666,13,34.76,0.134,False,0,Normal,light positive
user_003,2026-05-03,0.566,633641,4.7486211,6,10.56,0.014,False,0,Normal,light positive
user_004,2026-04-24,0.523,1468304,10.973115,9,24.47,0.0,False,0,Normal,light positive
user_004,2026-04-25,0.523,1060723,8.014750183333334,7,17.68,0.0,False,0,Normal,light positive
user_004,2026-04-26,0.495,2156709,19.8592367,14,35.95,-0.028,False,0,Normal,neutral
user_004,2026-04-27,0.408,868896,9.212784666666666,6,14.48,-0.087,False,0,Normal,neutral
user_004,2026-04-28,0.565,1644504,11.543117183333333,12,27.41,0.157,False,0,Normal,light positive
user_004,2026-04-29,0.534,1812685,13.752796266666666,12,30.21,-0.031,False,0,Normal,light positive
user_004,2026-04-30,0.382,1274231,13.330112133333333,9,21.24,-0.152,True,1,Normal,neutral
user_004,2026-05-01,0.472,1459435,13.425217066666665,10,24.32,0.09,False,0,Normal,neutral
user_004,2026-05-02,0.489,1564958,12.879240216666666,10,26.08,0.017,False,0,Normal,neutral
user_004,2026-05-03,0.421,1745045,17.223666483333332,13,29.08,-0.068,False,0,Normal,neutral
user_005,2026-04-24,0.464,1119370,9.815460116666667,8,18.66,0.0,False,0,Normal,neutral
user_005,2026-04-25,0.415,1830615,18.17186515,12,30.51,-0.049,False,0,Normal,neutral
user_005,2026-04-26,0.55,883148,7.280286716666666,6,14.72,0.135,False,0,Normal,light positive
user_005,2026-04-27,0.482,1630843,14.913937,11,27.18,-0.068,False,0,Normal,neutral
user_005,2026-04-28,0.458,1298456,11.7608743,10,21.64,-0.024,False,0,Normal,neutral
user_005,2026-04-29,0.397,930933,9.457062666666667,7,15.52,-0.061,True,1,Normal,neutral
user_005,2026-04-30,0.487,858739,7.441104149999999,6,14.31,0.09,False,0,Normal,neutral
user_005,2026-05-01,0.446,1406920,13.663413166666666,9,23.45,-0.041,False,0,Normal,neutral
user_005,2026-05-02,0.406,1030871,10.689506900000001,8,17.18,-0.04,False,0,Normal,neutral
user_005,2026-05-03,0.524,1556602,12.5229949,11,25.94,0.118,False,0,Normal,light positive
user_006,2026-04-24,0.57,1346934,9.722277433333334,10,22.45,0.0,False,0,Normal,light positive
user_006,2026-04-25,0.46,1611463,14.33351245,10,26.86,-0.11,False,0,Normal,neutral
user_006,2026-04-26,0.601,1654465,11.449628666666666,13,27.57,0.141,False,0,Normal,light positive
user_006,2026-04-27,0.401,1978413,19.31662215,13,32.97,-0.2,False,0,Normal,neutral
user_006,2026-04-28,0.517,1363295,10.79943875,9,22.72,0.116,False,0,Normal,light positive
user_006,2026-04-29,0.502,1155751,8.980150416666667,9,19.26,-0.015,False,0,Normal,light positive
