track_id,track_name,valence,energy,tempo,duration_ms,mood_label
79b8T4083ILOrWJPI5h2Sr,"Raining in New York, Pt. 1",0.0336,0.539,101.533,44000,sad
1xOj2DghMvEB9GjRi1b0Yr,Intro,0.0427,0.215,103.883,46154,sad
0ZuOBvS1LFJPKbGkj1BQSK,"Mozart: Così fan tutte, K. 588, Act 1: ""Soave sia il vento"" (Fiordiligi, Dorabella, Don Alfonso) [Live]",0.042,0.126,172.753,201387,sad
0ZiuJ4K86ATR7MzPaak0gE,"Knowing Me, Knowing You",0.0566,0.08,81.21,328337,sad
7aUuyot6swP36nLScqKoYd,"Symphony No. 3 in A Minor, Op. 44: III. Allegro - Allegro vivace - Allegro (Tempo primo) - Allegretto - Allegro vivace",0.0705,0.0448,138.06,828707,sad
6rGJSTdNJ5qAmlkkVWsIKN,Song Of Fire (ABGT274),0.0367,0.791,130.001,201231,sad
5lDR8qH8CS0XpsU2R6PdvI,What You Sayin’,0.0516,0.298,137.978,180000,sad
1yaVPIr1vXOpDyiiporcp5,"Requiem in D Minor, K. 626: IVb. Offertory. Hostias et preces",0.0883,0.176,95.788,245333,sad
5EsFH719Z0UzVlqzr5go8n,Wonderful Rain and Thunderstorms Sounds,1e-05,0.801,87.03,69172,sad
7KsGD3XUgVvdhHe19cSCr9,"String Quartet No. 19 in C Major, K. 465: II. Andante cantabile (F major)",0.0784,0.0802,113.082,393373,sad
2v6aJX9Cs0mGEga68MxeAC,Beautiful Being,0.0395,0.294,142.735,231220,sad
3E3twU7yoDnMfo3kGW0hHb,Affluence,0.0476,0.0084,47.893,60000,sad
2GnpKCvyiAqIAqNhMoHhv9,Chime,0.0867,0.00482,129.911,252062,sad
2gpWyw3EAkFMQyXAHvqeKi,12 Strong,0.0387,0.0931,74.686,182253,sad
3as4sLqPThvJbuzoSJfQDz,Worlds Away,0.0843,0.866,126.997,232441,sad
1gPm4FnJ6WMVfZenvMYuVc,"St. Matthew Passion, BWV 244, Pt. 2: No. 47, Der Landpfleger sagte",0.0,0.0575,86.019,15013,sad
0dvIJyA6fi3kqLeob0PuQt,Cracked Spark,0.0368,0.413,142.948,73101,sad
1MOtIJJgRzHoEWqirkM1Bk,The Scarlet Macaw,0.0399,0.0678,60.723,116571,sad
5ZMjK9oZVMxlveCXGGxkHU,Raindrops Coming Near,0.0128,0.923,46.894,62000,sad
6EURN0JLuLNaytFW2iWr76,The Other Side,0.0,0.00974,99.928,49200,sad
2fwkl5Z8ujDtAh6qxEA5x0,Lil Bebe (feat. Lil Baby) - Remix,0.0929,0.485,136.005,174720,sad
45F5C6emQo4a7yqZmvg4Zp,Rain Outside,1e-05,0.999,110.737,171022,sad
64pGAqYkiSeJIKNWEhNkVP,"Soft Rain lullaby(Loopable, No fade)",0.0173,0.997,71.764,162451,sad
7AGIWca67dzBAQ2GB1SI50,Hollow Earth,0.0316,0.0927,121.878,740039,sad
4puP5Rz2g1Q1OJ7c8AH6Lm,VUS Dropout,0.0791,0.196,122.093,64918,sad
5AFJBkF34JjCQvIoMKKJaa,Sawrey,0.0395,0.181,143.207,96437,sad
1L9zoEDnYB35DS5W4hCEcP,Buhrstone,0.0382,0.109,72.374,497419,sad
79hkmJR3AgzYxwAM8SZwEo,Wylin',0.0348,0.489,163.814,269268,sad
1YnJKXJo7HUSUw0q8SuSFW,Unadhallavaa?,0.0754,0.661,97.955,219692,sad
0URzMbr8EsvmsOmZu9Tc3e,"En blanc et noir, L. 134: II. Lent. Sombre",0.0584,0.0221,91.241,383000,sad
7DX87fITTCLX2MCApJJ2O4,Wherever Forever,0.0913,0.259,117.286,270524,sad
7nPYvw6cDAkAbXuVdSr9ic,"Impromptu No. 1 in C Minor, Op. 9, D. 899 (Franz Schubert)",0.0443,0.0211,86.271,673558,sad
3zOODMmNS2CdauhKVttUbp,Believe,0.0769,0.425,132.996,218263,sad
2oXFUVQ5yCW5M4ccmRbotG,The Last Dancer (Mix Cut),0.0664,0.715,131.95,307723,sad
4fLaFSQlEswPMDJv3bP9Iy,Rainy Journey With A Train,0.0942,0.544,77.907,3237000,sad
2LO4djxEtCZ72VANAk3AQZ,Artificial Paradise,0.0773,0.463,121.068,263625,sad
73MhDoJZRK9ZiR86K6vb0U,Rainy Days,1e-05,0.998,85.657,122746,sad
3sj8CkYcPx4D7HdrL31toi,Abandoned (Reya's Theme),0.0525,0.211,117.665,215093,sad
56kxJwl8shSfZ7b0tglR8w,Nostalgia,0.0563,0.331,125.947,219077,sad
3jj9ZqQmVr9MFoo60G74Rh,"Serenade for Strings in C Major, Op. 48, TH 48: III. Elegia",0.039,0.0966,96.654,653440,sad
0MABDT6NfdY7kRrSngWJ1I,"Préludes / Book 1, L. 117: 6. Des pas sur la neige",0.0469,0.000867,70.979,277173,sad
7kQagpAeGLBNrIE8gd0Q0H,"Fêtes galantes Livre I, L. 80: I. En sourdine (2e version)",0.041,0.0149,72.95,154653,sad
0seM0qq6a5z6Db5rnX7s2n,Sleep Rainfall,0.0258,0.253,50.848,102911,sad
5Y6dPzCSoEMdzhoVUlWT7s,Details - Ken Samson Remix,0.0702,0.523,109.87,199330,sad
0o8Acl1TzqlQZD2Aejdi8z,Home Sweet Home,0.0361,0.668,123.614,138015,sad
6yECsYJAmOJdXp8D9gRinT,"18 Chorale Preludes, BWV 659-664: IX. Nun komm, der Heiden Heiland, BWV 659 à 2 Clav. Et Ped.",0.0369,0.114,133.081,283280,sad
4EGjpdEzQtFyXI9QNQmZl1,Waking Up To Without You,0.0684,0.997,137.992,214023,sad
7yfpcQ8mOMLzFXrVkfyhli,"Star 69 - Live From The National Bowl, Milton Keynes / 1995",0.0699,0.978,129.28,240680,sad
0HNlvghceJM2vepxLHrzrY,Rainy Roof,0.00257,1.0,113.139,167905,sad
4GM9TLHNSTpD3tHEdW5JZD,"Mazurkas, Op. 33: No. 4 in B Minor",0.0739,0.0122,73.598,336152,sad
6Wfvu9ZLj56TdQgG4gSN09,Digital Chill,0.0644,0.162,176.767,137000,sad
2Ui4vPBjasQTdEMUKXXMqC,"Fantasia in G Major, BWV 572 ""Pièce d'orgue""",0.0771,0.169,67.957,497267,sad
0emlulUpXOWt1oBSABxGq7,The Hands of an Ape,0.0316,0.047,127.954,181666,sad
54yk8dBoG1koGZIGlREIB2,"Ballade No. 1 in G Minor, Op. 23",0.0596,0.174,135.288,544267,sad
0Tvp48vqDjABv55nArkPxc,Sweet Spirits,0.0693,0.137,72.232,87773,sad
3d6CgHaRGmqOIhveU8dkna,Rudhiram Marigi,0.0393,0.397,133.963,224552,sad
3VJaMiGFON7uPgVJ43F3EN,Oceans,0.0972,0.448,142.029,192424,sad
71VDopvBouVllBoaoYrFl3,"St. Matthew Passion, BWV 244, Pt. 2: No. 39, Erbarme dich, mein Gott, um meiner Zähren Willen",0.0479,0.0297,91.915,394240,sad
67l0QGShkf6frgXIcdcWvu,Requiem for the Fallen: Introduction. Maimai Apakura,0.0381,0.00446,135.259,193363,sad
67sBk9ISTnAV5lH9LErJF5,Climbing the Mountains,0.0354,0.0972,76.793,97119,sad
1l9eMznT1rS59mCvWgW8KU,Expanse,0.0651,0.324,100.015,259819,sad
37h68wQnkauYz39hmrHXvr,Shinobi (ASOT 882),0.0539,0.946,135.024,213240,sad
0RQdfqUKbeykL33anbqQir,Cooking Bacon Sleep Sounds,0.0295,0.994,92.728,103167,sad
0Jp5shGeatUYHfE9jsjcg8,This Tide,0.0677,0.458,199.236,300000,sad
0C2yc2i8ADpm3hNhteReHW,A Sea Without Shores,0.0312,0.293,120.258,91440,sad
4jj6Q2MnfmosmwS8inAVY3,Quinto Tono (Authentus Tritus) (Introito: Circumdederunt Me Gemitus Mortis) - Remastered,0.0695,0.0255,130.497,148667,sad
5xPn1O6XgVnC3megxvilJ5,Rain At Sea,1e-05,0.999,171.709,154673,sad
3JD5xfa8pgJi0AzdRCRETW,October Skies,0.0382,0.182,155.102,223686,sad
2lICqbWNji0Af8D6WIGp22,"Cinq poèmes de Charles Baudelaire, L. 64: III. Le Jet d'eau",0.0356,0.0379,71.093,306293,sad
1vM5d2gBKpx0A5UtzT4mNz,Voyeur in So Much Trouble,0.0346,0.122,100.105,365366,sad
6wUU6ff7O1jlE4NOrv01gI,re:member,0.0542,0.336,140.037,364648,sad
5o7EmpxPB12jg7gig8bFZ9,It's Raining Outside,1e-05,1.0,58.377,150049,sad
1J8CqSsS6ErrveimQyCvZa,Over and Out,0.0387,0.575,140.116,469898,sad
2wBVZTpmUuAM9mBFe8dq4g,My Story,0.0532,0.559,139.912,138206,sad
2b0gmOjYq6cMsEj2j8rBFf,To Belong,0.0396,0.561,99.946,289778,sad
4XG9o1DYkfDf4q5olv04ca,Missing (ASOT 874) - Jorn van Deynhoven Remix,0.081,0.948,138.004,192000,sad
0GcoAN552vpo5ouAaaAUa2,Behind - Instinct Version,0.0541,0.398,117.988,288835,sad
46WEkcUAR07isjPtfeNvbi,Flowers,0.0393,0.237,119.012,120729,sad
54XVqESSCLdvCBnLlJMivu,Stairway to Heaven,0.0914,0.183,79.723,153000,sad
1sFQxioGny0rVORrKrRI7n,School,0.0547,0.63,220.346,249731,sad
5RIvxqwP2LAyG94tGqqsWO,Breaking,0.0442,0.0261,73.291,186293,sad
5Pq0akQPAT6RhsbH8mVplA,Stirring Child Spirits,0.0588,0.568,93.023,185889,sad
2oz4U82hcp8DQpLZikMK5B,Sounds of Rain,0.0109,0.824,52.874,67370,sad
53266rFFS1EgnExbuu0BOG,"Paysage sentimental, FL 55",0.0407,0.0303,65.875,165707,sad
0BsoXpAO6PoeoAVXwde8N9,Viceversa,0.0394,0.503,109.937,225912,sad
5QHGF1BGrl6Y9OuLjsHhAA,The Firebird Suite: I. Introduction,0.0381,0.00263,86.419,203747,sad
7EUpvv5tyDgEEDQhdyespS,Residence,0.074,0.448,107.181,167889,sad
61XUwZVs3rHOvMnOI4o2PM,Monsters,0.0336,0.0542,142.708,102825,sad
1hyHgyS1V37c5gYSBmNy6R,Tightrope,0.0647,0.266,97.007,218320,sad
2iJQ1lZl8NazyjmVeKotho,No Smoke,0.0701,0.497,119.929,180013,sad
5EwPRWCboj4CIaUMWrH6BU,"Piano Quintet in F Minor, FWV 7: II. Lento, con molto sentimento",0.0313,0.0143,135.883,624187,sad
2NVhZVESuSdh5UsXQNqUg1,Tropical Eden,0.0358,0.222,144.711,102621,sad
6wwxWEFlUGJoBdEuPmVO4U,The Hanging (Hang Us All) Kris Dirksen Remix,0.0336,0.329,97.991,163427,sad
1EF8pwxA4f6IcamT7BRTOu,THE ENTRANCE,0.0288,0.355,92.648,39267,sad
1Dz4sjwHGwKf2nXJeUUyNr,Good Night Sleep,0.0166,0.981,103.244,239188,sad
3Sh68f7v4JXVHVAlb1PQwN,Glowing at the Moonlight,0.0356,0.178,93.509,102357,sad
3JrMXGfyYUlBNKrHe99Csy,Places We Don't Know,0.0977,0.733,114.978,204533,sad
04xy4fXkaUebIAbPjjSbi3,Binaural Ocean Tone,0.0251,0.241,119.573,173718,sad
41djceiMqAohRwzptBO3gT,Light Years (Mix Cut),0.057,0.904,130.007,192853,sad
2x6FK7jP16k8WpD14QbRdT,Arrest,0.0905,0.748,147.029,195918,sad
6yh6AYLqfusKTALfDiFNrV,Seaplanes,0.0371,0.0126,181.565,153600,sad
7n83XTtP1TrHuaaEyVTEsW,"Requiem in D Minor, K. 626: IIId. Sequence. Recordare, Jesu pie",0.0806,0.281,91.287,325915,sad
3npHmj5wYvF6vuC7RgjRVF,Accretion,0.07,0.628,129.99,465629,sad
4TyXZB8BCGJd15krGKC9ID,Opening Title,0.0365,0.213,98.233,155413,sad
08eJwtaR8G2oaoG9Hdsvs6,"Prelude & Fugue in C Minor, BWV 546: I. Prelude",0.0366,0.197,80.154,504000,sad
0HMfwi19j4vIlYzP5Jimxu,That Man,0.0911,0.0161,70.069,178286,sad
2iQXBDHy9q7FdKjL31SnDQ,Hold Me Keep Me,0.0661,0.465,199.999,422920,sad
0Qmqhtqco9ifi7ScZh1095,Wait For Me,0.0652,0.739,125.994,217143,sad
4kph9B2h3TPx3f3adqyJRv,Howl,0.0785,0.867,124.911,341760,sad
1Cu4HseVpouHamcRLzGy7r,Dog Music for Canines,0.0387,0.00911,77.819,134751,sad
2mSyIYh8RWxXzeKh69PxpR,Sweetness,0.0353,0.0913,82.057,140148,sad
1DcHZVESKzYXDeOVo5wxXd,We Move In The Dark - Sunday Maybe Mix,0.0392,0.434,120.134,253810,sad
2v37LPd48IJmwQTILst3Hd,"St Matthew Passion, BWV 244: Part II, No. 46: Recitative ""And Then Did He Begin to Curse and to Swear""",0.0383,0.185,97.982,90133,sad
0cVi3D1VYxux7GlRH8nqKf,Shorelines,0.0394,0.308,109.985,196364,sad
0j7ZDTkDTCMdx7HMS0j7YS,Relaxing Frequencies,0.0355,0.00482,66.503,128359,sad
2gU1Tyol9I2w7O6w4lzWxk,The Err Is Human,0.0559,0.393,120.031,184000,sad
6lEzmAjPNrGBKTUX7ORl04,Exit,0.0358,0.68,92.633,109605,sad
68MkYYwETryKcd4guWWi0J,An American Dream - Remixed,0.0398,0.995,106.738,282121,sad
