user_id,listening_date,track_id,track_name,valence,energy,tempo,track_duration_ms,listening_duration_ms,emotional_intensity
user_001,2026-04-24,track_077,VibeSync Track 077,0.524,0.276,129.6,270559,171878,1.3635654666666666
user_001,2026-04-24,track_109,VibeSync Track 109,0.304,0.474,116.6,266208,241740,2.804184
user_001,2026-04-24,track_103,VibeSync Track 103,0.033,0.846,128.7,261122,209756,3.380567533333333
user_001,2026-04-24,track_099,VibeSync Track 099,0.457,0.472,153.3,154703,63616,0.5757247999999999
user_001,2026-04-24,track_115,VibeSync Track 115,0.596,0.203,91.2,260591,256461,1.7268374000000002
user_001,2026-04-24,track_114,VibeSync Track 114,0.743,0.669,113.3,211397,178575,0.7648962499999999
user_001,2026-04-25,track_050,VibeSync Track 050,0.885,0.286,134.1,190091,82361,0.1578585833333333
user_001,2026-04-25,track_092,VibeSync Track 092,0.822,0.548,95.1,180603,116082,0.3443766000000001
user_001,2026-04-25,track_048,VibeSync Track 048,0.174,0.855,118.1,193262,114221,1.5724424333333336
user_001,2026-04-25,track_034,VibeSync Track 034,0.7,0.683,138.9,257524,245265,1.226325
user_001,2026-04-25,track_075,VibeSync Track 075,0.857,0.593,122.9,216319,166243,0.39621248333333337
user_001,2026-04-25,track_091,VibeSync Track 091,0.744,0.234,131.0,157128,139026,0.5931776
user_001,2026-04-25,track_081,VibeSync Track 081,0.596,0.533,104.6,268674,171472,1.1545781333333334
user_001,2026-04-25,track_077,VibeSync Track 077,0.524,0.276,129.6,270559,134658,1.0682867999999999
user_001,2026-04-25,track_069,VibeSync Track 069,0.822,0.484,109.3,193408,137412,0.4076556000000001
user_001,2026-04-25,track_063,VibeSync Track 063,0.187,0.328,132.9,262336,102699,1.3915714499999998
user_001,2026-04-25,track_089,VibeSync Track 089,0.573,0.661,97.4,159114,141286,1.0054853666666668
user_001,2026-04-25,track_023,VibeSync Track 023,0.341,0.427,128.7,262391,199569,2.19193285
user_001,2026-04-26,track_005,VibeSync Track 005,0.739,0.871,121.1,275941,160167,0.69672645
user_001,2026-04-26,track_087,VibeSync Track 087,0.447,0.717,120.4,222068,217838,2.007740233333333
user_001,2026-04-26,track_057,VibeSync Track 057,0.614,0.862,78.3,240755,224029,1.4412532333333334
user_001,2026-04-26,track_096,VibeSync Track 096,0.865,0.789,120.6,264846,226694,0.5100615000000001
user_001,2026-04-26,track_026,VibeSync Track 026,0.18,0.567,123.5,171022,81494,1.1137513333333335
user_001,2026-04-26,track_098,VibeSync Track 098,0.404,0.398,84.9,163342,106722,1.0601052
user_001,2026-04-26,track_073,VibeSync Track 073,0.461,0.594,143.1,258187,97716,0.8778153999999999
user_001,2026-04-27,track_059,VibeSync Track 059,0.163,0.517,93.5,197700,156970,2.1897314999999997
user_001,2026-04-27,track_056,VibeSync Track 056,0.185,0.215,106.0,199779,166634,2.2634451666666666
user_001,2026-04-27,track_035,VibeSync Track 035,0.136,0.286,153.5,238112,233083,3.3563952
user_001,2026-04-27,track_033,VibeSync Track 033,0.146,0.918,106.4,242631,136306,1.9400887333333334
user_001,2026-04-27,track_094,VibeSync Track 094,0.295,0.493,88.2,161720,95543,1.12263025
user_001,2026-04-27,track_072,VibeSync Track 072,0.212,0.612,117.9,246450,161476,2.1207181333333334
user_001,2026-04-27,track_062,VibeSync Track 062,0.062,0.943,109.9,241960,114484,1.7897665333333332
user_001,2026-04-27,track_007,VibeSync Track 007,0.277,0.143,115.4,282410,122692,1.4784385999999998
