track_id,track_name,valence,energy,tempo,duration_ms
track_000,VibeSync Track 000,0.404,0.705,106.4,153564
track_001,VibeSync Track 001,0.499,0.574,171.8,207078
track_002,VibeSync Track 002,0.611,0.7,118.0,204146
track_003,VibeSync Track 003,0.493,0.292,127.8,233655
track_004,VibeSync Track 004,0.654,0.754,156.8,268494
track_005,VibeSync Track 005,0.739,0.871,121.1,275941
track_006,VibeSync Track 006,0.496,0.073,93.9,189101
track_007,VibeSync Track 007,0.277,0.143,115.4,282410
track_008,VibeSync Track 008,0.616,0.793,117.1,235409
track_009,VibeSync Track 009,0.806,0.432,85.2,159401
track_010,VibeSync Track 010,0.318,0.505,111.9,276690
track_011,VibeSync Track 011,0.509,0.192,100.2,168629
track_012,VibeSync Track 012,0.805,0.526,140.2,229460
track_013,VibeSync Track 013,0.427,0.665,118.8,256749
track_014,VibeSync Track 014,0.671,0.808,111.2,183674
track_015,VibeSync Track 015,0.385,0.937,115.5,186535
track_016,VibeSync Track 016,0.276,0.189,123.4,214283
track_017,VibeSync Track 017,0.366,0.47,132.8,269454
track_018,VibeSync Track 018,0.581,0.595,94.0,180186
track_019,VibeSync Track 019,0.505,0.618,93.0,239566
track_020,VibeSync Track 020,0.652,0.69,144.5,211099
track_021,VibeSync Track 021,0.303,0.472,108.1,165099
track_022,VibeSync Track 022,0.666,0.407,84.0,245968
track_023,VibeSync Track 023,0.341,0.427,128.7,262391
track_024,VibeSync Track 024,0.616,0.23,129.1,227710
track_025,VibeSync Track 025,0.592,0.367,81.3,173808
track_026,VibeSync Track 026,0.18,0.567,123.5,171022
track_027,VibeSync Track 027,0.663,0.853,135.7,207171
track_028,VibeSync Track 028,0.444,0.819,127.0,218366
track_029,VibeSync Track 029,0.857,0.835,133.2,224544
track_030,VibeSync Track 030,0.377,0.399,84.3,182893
track_031,VibeSync Track 031,0.795,0.501,125.9,217603
track_032,VibeSync Track 032,0.297,0.822,110.7,189835
track_033,VibeSync Track 033,0.146,0.918,106.4,242631
track_034,VibeSync Track 034,0.7,0.683,138.9,257524
track_035,VibeSync Track 035,0.136,0.286,153.5,238112
track_036,VibeSync Track 036,0.21,0.529,161.1,150168
track_037,VibeSync Track 037,0.792,0.513,149.6,283925
track_038,VibeSync Track 038,0.438,0.701,115.4,153208
track_039,VibeSync Track 039,0.569,0.817,126.5,284921
track_040,VibeSync Track 040,0.655,0.535,136.4,154289
track_041,VibeSync Track 041,0.657,0.887,120.9,219722
track_042,VibeSync Track 042,0.422,0.84,121.1,164306
track_043,VibeSync Track 043,0.092,0.859,137.8,162851
track_044,VibeSync Track 044,0.262,0.301,116.6,242258
track_045,VibeSync Track 045,0.321,0.684,100.5,248258
track_046,VibeSync Track 046,0.776,0.218,108.1,165961
track_047,VibeSync Track 047,0.783,0.381,133.2,281849
track_048,VibeSync Track 048,0.174,0.855,118.1,193262
track_049,VibeSync Track 049,0.412,0.326,126.2,192974
track_050,VibeSync Track 050,0.885,0.286,134.1,190091
track_051,VibeSync Track 051,0.468,0.777,109.0,212263
track_052,VibeSync Track 052,0.623,0.474,136.1,174007
track_053,VibeSync Track 053,0.621,0.34,127.1,207344
track_054,VibeSync Track 054,0.597,0.412,88.4,178347
track_055,VibeSync Track 055,0.397,0.823,152.6,156941
track_056,VibeSync Track 056,0.185,0.215,106.0,199779
track_057,VibeSync Track 057,0.614,0.862,78.3,240755
track_058,VibeSync Track 058,0.67,0.842,92.9,253017
track_059,VibeSync Track 059,0.163,0.517,93.5,197700
track_060,VibeSync Track 060,0.877,0.392,119.3,193705
track_061,VibeSync Track 061,0.04,0.299,111.4,256307
track_062,VibeSync Track 062,0.062,0.943,109.9,241960
track_063,VibeSync Track 063,0.187,0.328,132.9,262336
track_064,VibeSync Track 064,0.352,0.262,126.2,272323
track_065,VibeSync Track 065,0.49,0.591,125.6,260866
track_066,VibeSync Track 066,0.434,0.912,127.8,276425
track_067,VibeSync Track 067,0.492,0.853,132.8,206249
track_068,VibeSync Track 068,0.341,0.297,67.4,203280
track_069,VibeSync Track 069,0.822,0.484,109.3,193408
track_070,VibeSync Track 070,0.336,0.151,65.7,181755
track_071,VibeSync Track 071,0.407,0.276,118.9,251090
track_072,VibeSync Track 072,0.212,0.612,117.9,246450
track_073,VibeSync Track 073,0.461,0.594,143.1,258187
track_074,VibeSync Track 074,0.737,0.125,146.5,172597
track_075,VibeSync Track 075,0.857,0.593,122.9,216319
track_076,VibeSync Track 076,0.603,0.33,106.0,179964
track_077,VibeSync Track 077,0.524,0.276,129.6,270559
track_078,VibeSync Track 078,0.389,0.547,105.3,186100
track_079,VibeSync Track 079,0.611,0.498,118.0,169427
track_080,VibeSync Track 080,0.329,0.917,141.7,226931
track_081,VibeSync Track 081,0.596,0.533,104.6,268674
track_082,VibeSync Track 082,0.482,0.333,137.3,273623
track_083,VibeSync Track 083,0.56,0.751,134.3,162972
track_084,VibeSync Track 084,0.768,0.536,95.1,193995
track_085,VibeSync Track 085,0.188,0.714,141.4,170725
track_086,VibeSync Track 086,0.527,0.43,134.8,191561
track_087,VibeSync Track 087,0.447,0.717,120.4,222068
track_088,VibeSync Track 088,0.572,0.182,99.7,187877
track_089,VibeSync Track 089,0.573,0.661,97.4,159114
track_090,VibeSync Track 090,0.55,0.489,105.1,218854
track_091,VibeSync Track 091,0.744,0.234,131.0,157128
track_092,VibeSync Track 092,0.822,0.548,95.1,180603
track_093,VibeSync Track 093,0.41,0.183,128.5,150070
track_094,VibeSync Track 094,0.295,0.493,88.2,161720
track_095,VibeSync Track 095,0.125,0.641,113.1,208902
track_096,VibeSync Track 096,0.865,0.789,120.6,264846
track_097,VibeSync Track 097,0.238,0.683,176.7,254574
track_098,VibeSync Track 098,0.404,0.398,84.9,163342
track_099,VibeSync Track 099,0.457,0.472,153.3,154703
track_100,VibeSync Track 100,0.298,0.181,121.6,195641
track_101,VibeSync Track 101,0.442,0.493,127.9,238054
track_102,VibeSync Track 102,0.833,0.578,120.8,250808
track_103,VibeSync Track 103,0.033,0.846,128.7,261122
track_104,VibeSync Track 104,0.309,0.542,114.3,196197
track_105,VibeSync Track 105,0.331,0.344,152.9,172680
track_106,VibeSync Track 106,0.605,0.644,107.0,153556
track_107,VibeSync Track 107,0.193,0.482,145.2,169826
