user_id,listening_date,track_id,track_name,valence,energy,tempo,track_duration_ms,listening_duration_ms,emotional_intensity
user_001,2026-04-13,35WCpc3Mz2ysTn8aN7kq1h,Moonlight Shadow (Full Reloaded 2018) - Radio Edit,0.325,0.843,142.936,195199,187067,2.1045039
user_001,2026-04-13,2KphrmytUjUjfoxufLMmy4,Room Service,0.485,0.781,104.988,133143,53661,0.46059024
user_001,2026-04-13,546nP86nnYpd707UOb1vio,Kaboom Danzao,0.677,0.761,90.065,160923,99693,0.5366807
user_001,2026-04-13,0wBVVajkFTuH1sDMEhBzGN,Contra La Pared - Instrumental,0.143,0.347,93.955,224681,162868,2.326298
user_001,2026-04-13,5r4xeiTaSjYt38mfY6dnEH,Tore Up Over You - Live,0.563,0.936,139.656,445063,222384,1.6196967
user_001,2026-04-13,0K908C78JZScqkGFG4vil2,Georgia,0.201,0.381,138.003,256623,136692,1.8202819
user_001,2026-04-13,3Z9hpWUydol6VsllNA0vnE,Time,0.191,0.727,122.99,234146,115714,1.5602105
user_001,2026-04-13,5XIU8GiNnpacRK1cWec8QZ,Never Even Know,0.424,0.483,140.004,155429,89273,0.85702074
user_001,2026-04-14,3KHl8ZdX9pqzyx8T9039U6,Second Hand Love,0.384,0.366,93.044,213703,199604,2.0492678
user_001,2026-04-14,2PFvERcsENO2mSXV2abmMW,Going On,0.539,0.915,119.004,204733,129090,0.99184155
user_001,2026-04-14,5BZTGUCgxOvD8didBbuEo6,Darker,0.345,0.632,148.982,234198,145574,1.5891827
user_001,2026-04-14,7olUGwnLZaqPoAqwOgefKD,"Prelude and Fugue No. 2 in C Major, BWV 847: II. Fugue",0.815,0.408,74.158,114173,68649,0.21166775
user_001,2026-04-14,5Uh68Upgnye5ZpWcbyij1r,"Relax with Cthulhu, Pt. 4: Bubble Wrap & Leaves",0.0133,0.508,111.297,589803,576045,9.47306
user_001,2026-04-14,0ZV2OU0ciMA1yZS86qv51V,Hayati,0.753,0.657,135.977,176576,75264,0.30983678
user_001,2026-04-14,3dIm5npvIclzqtxY74KFB5,The European Starling (With Thunderstorm Ambience),0.0781,0.142,54.091,130286,119435,1.8351188
user_001,2026-04-14,0dTAYsYOB4cAZmPnZICY22,The Town & Miss Lorraine,0.632,0.438,122.092,160333,90212,0.5533002
user_001,2026-04-14,0X9QscQccjaJotBuVjvfLn,Gone to La (Going Solo Remix),0.341,0.18,112.213,343000,333304,3.6607893
user_001,2026-04-14,1StEu1ByyUvTnwb5ePsxtK,Monkey,0.323,0.427,122.998,144405,80130,0.9041335
user_001,2026-04-14,6pBhEXmfTag33AmQtvGQzc,A Breath Upwards: VI. —,0.0387,0.0033,72.495,160307,64742,1.0372747
user_001,2026-04-14,4DyZ04KV7yaG4kv2Tl8vfd,Adicto A Ti - En Vivo,0.678,0.783,84.157,246293,169456,0.90941393
user_001,2026-04-14,6LHb0CCEuYJ5EtcauYBV8m,Blade,0.135,0.971,74.978,246400,122734,1.7694151
user_001,2026-04-14,4Q3c6gvAOwP3XLPfcSThY0,Drip Drop,0.546,0.759,89.904,206707,173518,1.3129529
user_001,2026-04-14,3fUQJudt5xqHNaG5IE74Xh,Chivo Tatemado (En Vivo),0.669,0.642,121.286,160560,124795,0.68845236
