user_id,listening_date,avg_valence,mood_trend,rolling_mean_valence_3d,trend_class,risk_score,risk_rank,mood_status,emotional_intensity,final_state,transition_path
user_001,2026-05-03,0.357,0.064,0.341,improving,0.2008,442,Prolonged Low Mood,26.827204,Recovering,neutral -> light positive -> energetic
user_002,2026-05-03,0.478,0.135,0.423,improving,0.3068,121,Normal,28.06372,Recovering,neutral -> light positive -> energetic
user_003,2026-05-03,0.493,0.113,0.42,improving,0.1902,495,Normal,13.10508,Recovering,neutral -> light positive -> energetic
user_004,2026-05-03,0.471,0.033,0.486,improving,0.1822,535,Normal,23.681252,Recovering,neutral -> light positive -> energetic
user_005,2026-05-03,0.418,-0.094,0.459,worsening,0.2406,283,Normal,28.051592,Stable,neutral -> light positive -> energetic
user_006,2026-05-03,0.451,-0.006,0.445,stable,0.0901,1029,Normal,18.552916,Stable,neutral -> light positive -> energetic
user_007,2026-05-03,0.399,-0.076,0.442,worsening,0.1365,787,Normal,13.485561,Critical,neutral -> light positive -> energetic
user_008,2026-05-03,0.302,-0.375,0.482,worsening,0.4716,13,Normal,9.957277,Critical,neutral -> light positive -> energetic
user_009,2026-05-03,0.259,-0.162,0.356,worsening,0.2591,221,Normal,17.059101,Critical,reflective -> neutral -> light positive -> energetic
user_010,2026-05-03,0.458,0.003,0.455,stable,0.1115,926,Normal,25.42047,Recovering,neutral -> light positive -> energetic
user_011,2026-05-03,0.414,0.007,0.436,stable,0.1124,921,Normal,21.522112,Recovering,neutral -> light positive -> energetic
user_012,2026-05-03,0.544,0.088,0.51,improving,0.1696,589,Normal,14.721882,Recovering,light positive -> energetic
user_013,2026-05-03,0.428,0.06,0.417,improving,0.1136,915,Normal,10.269573,Recovering,neutral -> light positive -> energetic
user_014,2026-05-03,0.429,0.026,0.429,improving,0.1055,959,Normal,20.380323,Recovering,neutral -> light positive -> energetic
user_015,2026-05-03,0.382,-0.051,0.451,worsening,0.1173,891,Normal,15.074027,Critical,neutral -> light positive -> energetic
user_016,2026-05-03,0.476,0.033,0.481,improving,0.1506,697,Normal,22.97577,Recovering,neutral -> light positive -> energetic
user_017,2026-05-03,0.484,0.102,0.423,improving,0.166,611,Normal,12.087915,Recovering,neutral -> light positive -> energetic
user_018,2026-05-03,0.407,0.009,0.44,stable,0.1304,821,Normal,25.446486,Recovering,neutral -> light positive -> energetic
user_019,2026-05-03,0.329,-0.134,0.423,worsening,0.2216,360,Normal,16.51052,Critical,neutral -> light positive -> energetic
user_020,2026-05-03,0.487,-0.003,0.469,stable,0.0693,1120,Normal,15.718101,Stable,neutral -> light positive -> energetic
user_021,2026-05-03,0.498,0.018,0.461,stable,0.1472,715,Normal,22.762537,Recovering,neutral -> light positive -> energetic
user_022,2026-05-03,0.354,0.027,0.369,improving,0.0668,1131,Normal,12.866631,Recovering,neutral -> light positive -> energetic
user_023,2026-05-03,0.444,-0.062,0.474,worsening,0.1378,780,Normal,16.106724,Stable,neutral -> light positive -> energetic
user_024,2026-05-03,0.406,-0.051,0.453,worsening,0.1967,461,Normal,26.702908,Stable,neutral -> light positive -> energetic
user_025,2026-05-03,0.472,-0.046,0.487,worsening,0.1073,953,Normal,13.484634,Stable,neutral -> light positive -> energetic
user_026,2026-05-03,0.358,-0.07,0.4,worsening,0.1458,724,Normal,19.395123,Critical,neutral -> light positive -> energetic
user_027,2026-05-03,0.473,-0.009,0.438,stable,0.044,1201,Normal,9.703171,Stable,neutral -> light positive -> energetic
user_028,2026-05-03,0.628,0.13,0.533,improving,0.1814,539,Normal,6.510339,Recovering,light positive -> energetic
